CustomerId,PlanType,StartDate,EndDate,BillingAmount,AutoRenew
3269,Family,2024-06-15,2026-03-24,9.99,1
317,Student,2024-10-17,2025-06-01,9.99,0
4484,Free,2023-07-27,2026-03-09,9.99,0
761,Student,2023-07-07,2026-04-13,9.99,0
2618,Family,2023-11-19,2025-12-29,9.99,1
939,Basic,2023-06-23,2025-06-18,9.99,0
1786,Student,2024-08-04,2026-01-25,9.99,0
1258,Basic,2024-09-04,2026-03-01,9.99,0
1344,Family,2024-11-02,2025-10-10,9.99,1
4994,Family,2024-12-16,2025-11-29,9.99,0
4711,Premium,2025-01-10,2025-09-27,9.99,0
1357,Free,2024-04-16,2025-11-07,9.99,0
1174,Basic,2024-10-20,2026-02-21,9.99,1
3446,Free,2024-01-02,2026-03-11,9.99,0
4913,Basic,2023-09-16,2025-11-09,9.99,1
3077,Premium,2023-10-28,2026-01-24,9.99,1
1507,Family,2024-08-05,2026-03-16,9.99,0
2451,Student,2023-07-08,2025-11-18,9.99,0
2585,Basic,2024-01-27,2025-10-10,9.99,0
758,Student,2025-04-03,2026-03-01,9.99,1
3794,Family,2024-04-18,2025-11-25,9.99,1
3529,Student,2024-10-22,2025-12-17,9.99,1
1204,Basic,2023-08-19,2025-08-13,9.99,1
4209,Family,2024-11-07,2025-09-24,9.99,1
3757,Basic,2023-08-07,2025-12-31,9.99,0
4073,Free,2025-04-11,2025-09-13,9.99,1
678,Student,2023-12-14,2025-06-14,9.99,1
4669,Free,2024-11-19,2025-09-14,9.99,1
4984,Free,2024-09-14,2025-11-07,9.99,1
4961,Student,2024-12-30,2025-06-12,9.99,0
1200,Basic,2024-01-14,2026-03-20,9.99,0
843,Basic,2023-09-02,2026-01-01,9.99,0
2601,Family,2024-09-19,2025-09-12,9.99,1
1434,Student,2025-03-15,2025-11-23,9.99,1
293,Basic,2025-03-03,2025-08-04,9.99,1
3589,Basic,2024-12-24,2026-03-11,9.99,0
3532,Basic,2025-01-04,2025-11-02,9.99,1
3277,Free,2024-11-27,2026-01-13,9.99,1
256,Family,2024-01-02,2026-01-03,9.99,0
954,Premium,2023-07-25,2025-09-16,9.99,1
3671,Free,2023-10-04,2025-07-26,9.99,1
394,Student,2024-05-02,2025-06-06,9.99,1
3426,Premium,2024-03-05,2025-09-18,9.99,0
2967,Basic,2023-07-27,2026-01-04,9.99,1
1283,Family,2025-01-26,2026-04-20,9.99,0
4734,Student,2024-10-31,2026-02-19,9.99,1
1252,Premium,2025-01-19,2025-11-07,9.99,1
4325,Free,2023-07-17,2025-12-21,9.99,1
1594,Free,2024-10-04,2026-02-27,9.99,0
3588,Family,2024-07-19,2025-07-07,9.99,1
2622,Family,2023-05-20,2025-06-04,9.99,1
4270,Basic,2024-03-16,2025-09-15,9.99,1
