Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes
Practice open.,497,3,6,Jennifer Clark,245443,5376475
Less kind.,406,2,8,Thomas Bowman,135566,4211374
Smile picture.,262,5,8,Jose Cameron,243694,4772288
Down.,78,5,6,Rodney Jefferson,68208,4876574
Trip.,823,2,6,David Avila,133350,3106776
Act.,455,2,7,Gregory Lopez,62688,4304710
Authority reveal.,746,3,6,Brent Young,200469,5784482
Able doctor.,155,4,10,Patricia Smith,384201,1037901
Radio.,722,1,3,Nicholas Stephens,263517,1723558
Use.,876,1,6,Laura Morris,375732,4633788
Question painting.,571,3,5,Amanda Jones,334964,6187736
Weight movement.,84,2,1,Daniel Bauer,262798,6496532
Sell.,228,2,9,Russell Jensen,255804,2269858
Partner.,275,2,8,Cassandra Norman,201278,4769140
Pass.,574,4,2,Claudia Sandoval,91326,4479043
Example.,701,4,4,Alexa Lee,98644,3686033
Agreement.,883,5,3,Michelle Holmes,340098,5305235
Recent use.,209,2,4,Christopher Potter,80080,3035281
Art brother.,665,3,7,Christopher Daniels,124191,6438459
Doctor.,317,4,4,Robert Soto,361096,1429500
Structure.,238,3,4,Bradley Byrd,362425,6652987
Point.,108,4,3,Brittany Torres,326481,3891168
Technology.,850,1,2,Patricia Little,383026,1511655
Not purpose.,977,2,9,Joseph White,243207,3954324
Drug.,103,1,2,Marc King,105661,4571332
Director.,183,4,7,Diane Cruz,222478,1240865
Final.,239,2,4,Emily Zhang,198133,6024216
Husband.,665,3,1,Laura Gardner,246645,2544353
Knowledge.,163,1,7,Taylor Hoover,236067,3882723
Despite loss.,683,5,6,Kimberly Michael,282864,5859234
Risk agent.,368,5,2,John Henson,282591,2280989
Eye alone.,535,4,3,Frank Steele,60266,3085221
Brother law.,745,2,10,Lisa Phillips,242529,4789264
Such.,851,2,3,Jeffrey Holmes,69456,6360659
Believe.,483,5,8,Gregory Chan,74758,6674328
Which.,892,2,10,Brian Scott,375410,2761378
Chair main.,624,3,2,Jennifer Baker,235203,3964947
Action age.,54,1,8,Kathryn Rowe,108641,2598722
On.,502,4,2,Lisa Alexander,107800,1009366
Affect our.,992,2,9,Jamie Burns,323372,6965849
Scene.,305,5,6,Anthony King,158750,4436495
Specific institution.,981,5,5,Christine Ford,353781,5819583
Store build.,713,2,6,Emily Powell,228381,3468906
Win quickly.,202,3,8,Casey Burns,193118,2477157
Radio better.,23,3,3,Jeffrey Shaw,100405,2262313
Doctor work.,178,1,2,Emily Olson,79867,6967110
Pretty information.,62,2,7,Nancy Pena,349275,6065199
Traditional.,448,2,8,Jason Caldwell,381937,5558098
Husband.,779,3,2,Misty Delgado,288462,6012756
